,Location,Area,Security,Bedrooms,Price
305,Malkajgiri,1200,0,2,8200000
306,Malkajgiri,1200,0,2,8200000
307,Malkajgiri,1200,0,2,8200000
308,Malkajgiri,1200,0,2,8200000
309,Malkajgiri,1200,0,2,8200000
310,Malkajgiri,1200,0,2,8200000
311,Kokapet,1735,0,3,10800000
312,Jubilee Hills,2500,0,3,27500000
313,Kondapur,3959,0,4,35000000
314,Narsingi,1889,1,3,9822000
315,Kondapur,4500,0,4,30000000
316,Jubilee Hills,2500,0,3,27500000
317,Alwal,1220,0,2,4880000
318,Miyapur,1920,0,3,9984000
319,West Marredpally,2700,0,4,25000000
320,other,1300,0,3,5400000
321,Banjara Hills,2100,0,3,15000000
322,Miyapur,1920,0,3,9984000
323,Miyapur,1925,0,3,10000000
324,Kondapur,1885,1,2,11800000
325,Gajularamaram,1010,0,2,4542000
326,Kukatpally,1695,0,3,10900000
327,Kukatpally,1090,0,2,7098999
328,Jubilee Hills,3100,0,3,46000000
329,Jubilee Hills,2200,0,3,19800000
330,Kondapur,1521,0,3,7600000
331,Kokapet,2490,0,3,18000000
332,Narsingi,1675,1,3,12300000
333,Narsingi,1675,1,3,12300000
334,Nizampet,1260,0,2,5500000
335,Nizampet,1105,0,2,3700000
336,Narsingi,1675,1,3,12300000
337,Narsingi,1675,1,3,12300000
338,Narsingi,1675,1,3,12300000
339,Narsingi,1675,1,3,12300000
340,Nizampet,1200,0,2,4850000
341,Nizampet,1200,0,2,4850000
342,Nizampet,1200,0,2,4850000
343,Nizampet,1200,0,2,4850000
344,Nizampet,1200,0,2,4850000
345,Begumpet,900,0,2,4500000
346,Malkajgiri,1710,0,3,7600000
347,other,1242,0,3,8600000
348,Malkajgiri,1705,0,3,7500000
349,Malkajgiri,1050,0,2,5200000
350,other,1225,0,3,5700000
351,Gajularamaram,1555,0,3,6931000
352,other,1675,0,3,10800000
353,Kukatpally,1695,0,3,10900000
354,Kokapet,1945,1,3,13000000
355,Nizampet,1000,0,2,3650000
356,Hitech City,1150,0,2,8625000
357,other,1330,0,3,7500000
358,Kondapur,2250,0,3,20000000
359,Tellapur,2240,0,3,10000000
360,Banjara Hills,4500,1,4,45000000
361,Banjara Hills,4500,1,4,45000000
362,Banjara Hills,4500,1,4,45000000
363,Gajularamaram,800,0,2,3300000
364,Gajularamaram,800,0,2,3300000
365,Gajularamaram,800,0,2,3300000
366,Gajularamaram,800,0,2,3300000
367,Chandanagar,1150,0,2,5635000
368,Nanakramguda,1840,0,3,12900000
369,other,1560,0,3,7800000
370,Serilingampally,1300,0,2,6300000
371,other,3200,0,4,28000000
372,Banjara Hills,2950,0,3,30000000
373,Banjara Hills,2950,0,3,30000000
374,Gachibowli,1699,0,4,12500000
375,Nagole,1254,1,2,6583000
376,Nagole,1710,1,3,8977000
377,Kukatpally,4067,1,4,35500000
378,other,1320,1,2,7500000
379,Puppalaguda,1605,0,3,7000000
380,Madhapur,2120,0,3,14500000
381,Nallagandla Gachibowli,1860,1,3,13500000
382,Nallagandla Gachibowli,1860,0,3,13500000
383,Krishna Reddy Pet,1050,0,2,2700000
384,Miyapur,1550,0,3,8990000
385,Hitech City,3090,1,4,27500000
386,Gachibowli,6718,1,5,66400000
387,Kondapur,1195,1,2,7500000
388,other,1230,0,3,5700000
389,Banjara Hills,2956,0,4,33000000
390,Banjara Hills,2956,0,4,33000000
391,LB Nagar,1076,0,2,5500000
392,other,842,0,2,3578000
393,Miyapur,1200,0,2,7800000
394,Jubilee Hills,4500,0,4,52000000
395,Jubilee Hills,4500,0,4,52000000
396,Jubilee Hills,3600,0,4,40000000
397,Jubilee Hills,3600,0,4,40000000
398,Banjara Hills,3500,0,3,36700000
399,Banjara Hills,3500,0,3,36700000
400,Madhapur,1150,0,2,8600000
401,Hitech City,1150,0,2,9000000
402,Hitech City,1150,0,2,9000000
403,Nanakramguda,1245,1,2,9877000
404,Nanakramguda,1600,1,3,13000000
405,Nanakramguda,2270,1,3,18800000
406,Manikonda,1200,0,2,6000000
407,Puppalaguda,1418,0,3,7000000
408,Miyapur,1920,0,3,9984000
409,Miyapur,1925,0,3,10000000
410,Miyapur,1905,0,3,9906000
411,Gachibowli,850,0,2,5500000
412,Nizampet,1940,0,3,8000000
413,Hitech City,1150,0,2,8600000
414,Kukatpally,1730,0,3,11100000
415,Kukatpally,1730,0,3,11100000
416,other,1050,0,2,4200000
417,other,1050,0,2,4200000
418,Kondapur,1908,0,3,14500000
419,Kukatpally,1090,0,2,7098999
420,Bachupally,1905,1,3,8953000
421,Bachupally,1675,1,3,7872000
422,Bachupally,1615,1,3,7590000
423,Bachupally,1160,1,2,5452000
424,Bachupally,1800,1,3,8459000
425,Bachupally,1200,1,2,5640000
426,Mallapur,908,0,2,4500000
427,Kukatpally,1100,0,2,4830000
428,other,1380,0,2,4900000
429,Hitech City,970,0,2,6000000
430,Mallapur,1160,0,2,4500000
431,other,840,0,2,4299000
432,other,1100,0,2,4750000
433,other,931,0,2,4200000
434,Jubilee Hills,1670,0,3,12500000
435,Kukatpally,2000,1,3,12000000
436,Kukatpally,2000,1,3,12000000
437,Miyapur,1554,0,3,8298999
438,Miyapur,1650,0,3,8898000
439,Miyapur,1554,0,3,7998999
440,Jubilee Hills,1900,1,3,23000000
441,Jubilee Hills,1900,1,3,22900000
442,Jubilee Hills,1900,0,3,23000000
443,Jubilee Hills,1900,1,3,23000000
444,Kukatpally,1740,1,3,14500000
445,Madhapur,3145,1,3,20000000
446,Beeramguda,963,0,2,2800000
447,other,909,0,3,3500000
448,other,850,0,2,3500000
449,other,950,0,2,4700000
450,Kukatpally,1730,0,3,11399999
451,Gajularamaram,1555,0,3,6931000
452,Gajularamaram,1180,0,2,5256000
453,Kukatpally,1675,0,3,11100000
454,other,845,0,2,5300000
455,other,1100,0,2,4500000
456,other,1905,0,3,14600000
457,other,1460,0,3,11200000
458,other,1460,0,3,11200000
459,Malkajgiri,1175,0,2,4200000
460,Kompally,1360,1,2,4900000
461,Kondapur,1220,1,2,7554000
462,Kondapur,1885,1,3,11399999
463,Kondapur,1165,1,2,7240000
464,Jubilee Hills,1295,0,2,9600000
465,Jubilee Hills,1295,0,2,9600000
466,Jubilee Hills,1295,0,2,9600000
467,Jubilee Hills,1295,0,2,9600000
468,Jubilee Hills,1295,0,2,9600000
469,Jubilee Hills,1295,0,2,10200000
470,Jubilee Hills,1670,0,3,12500000
471,Jubilee Hills,1670,0,3,12500000
472,Bandlaguda Jagir,1200,0,2,4800000
473,Bandlaguda Jagir,1200,0,2,4800000
474,Jubilee Hills,1670,0,3,12500000
475,Nanakramguda,2460,1,3,16800000
476,other,1040,0,2,4000000
477,Beeramguda,1107,0,2,3600000
478,Begumpet,1050,0,2,6000000
479,Begumpet,1050,0,2,6000000
480,Banjara Hills,2900,0,3,33300000
481,Hitech City,1150,0,2,8625000
482,other,1040,0,2,4000000
483,Beeramguda,1107,0,2,3600000
484,Beeramguda,850,0,2,4000000
485,Begumpet,1050,0,2,6000000
486,Begumpet,1050,0,2,6000000
487,Beeramguda,1080,0,2,3500000
488,Beeramguda,1080,0,2,3500000
489,other,1100,0,2,2300000
490,other,1100,0,2,2300000
491,other,1745,0,3,12000000
492,Nagole,970,0,2,2500000
493,Kukatpally,1090,1,2,5777000
494,Kukatpally,1435,0,3,7605000
495,Beeramguda,684,0,1,2600000
496,Beeramguda,1040,0,2,4500000
497,Beeramguda,850,0,2,3000000
498,Beeramguda,1150,0,2,3200000
499,other,1605,0,3,7000000
500,Beeramguda,850,0,2,3000000
501,Beeramguda,1150,0,2,3200000
502,other,1605,0,3,7000000
503,Mallapur,1000,0,2,5500000
504,Kukatpally,1090,1,2,5777000
505,Kukatpally,1435,0,3,7605000
506,Nagole,1635,1,3,8502000
507,Nagole,1585,1,3,8242000
508,Appa Junction Peerancheru,1730,1,3,11000000
509,Appa Junction Peerancheru,1665,1,3,10700000
510,Appa Junction Peerancheru,1482,1,2,9240000
511,Appa Junction Peerancheru,1385,1,2,8800000
512,other,1000,0,2,3400000
513,Gachibowli,1035,1,2,9500000
514,Toli Chowki,1250,0,2,4700000
515,Toli Chowki,1250,0,2,4700000
516,other,1000,0,2,5000000
517,other,1260,0,2,4788000
518,Beeramguda,950,0,2,2880000
519,Gachibowli,850,0,2,5500000
520,Nanakramguda,1260,1,2,8500000
521,other,1050,0,2,5500000
522,Bachupally,1250,1,2,4400000
523,Kondapur,1908,0,3,14000000
524,Gajularamaram,1555,0,3,6931000
525,Narsingi,1720,1,3,12000000
526,other,1327,1,3,7540000
527,other,1110,1,3,6290000
528,other,941,1,2,5290000
529,other,1200,0,2,5580000
530,Manikonda,1200,0,1,4300000
531,other,1390,0,3,5560000
532,other,540,0,1,2400000
533,Gachibowli,1717,1,2,12500000
534,Gachibowli,1717,1,2,12500000
535,other,900,0,2,3570000
536,Bandlaguda Jagir,2150,1,3,12600000
537,other,810,0,2,4800000
538,Bandlaguda Jagir,1985,1,3,11600000
539,Kondapur,1555,1,3,9563000
540,other,810,0,2,4800000
541,Bandlaguda Jagir,1985,1,3,11600000
542,Kondapur,1555,1,3,9563000
543,other,1050,0,2,3600000
544,Mallapur,1014,0,2,4500000
545,Kompally,1085,1,2,3900000
546,Kompally,1100,0,2,5800000
547,Nizampet,1050,0,2,3500000
548,Nizampet,1050,0,2,3500000
549,Kukatpally,1860,1,3,11399999
550,Kukatpally,1860,1,3,11399999
551,Banjara Hills,3000,0,3,35000000
552,Banjara Hills,3000,0,3,35000000
553,Nallagandla Gachibowli,955,0,2,4500000
554,other,1155,1,2,4500000
555,Nizampet,1120,0,2,3500000
556,Nizampet,850,0,2,3500000
557,Kachiguda,1000,0,2,3800000
558,Kachiguda,1000,0,2,3800000
559,Kachiguda,1000,0,2,3800000
560,Kachiguda,1000,0,2,3800000
561,Kachiguda,1000,0,2,3800000
562,Narsingi,966,0,2,3960000
563,Kachiguda,1000,0,2,3800000
564,Kachiguda,1000,0,2,3800000
565,other,1050,0,2,4100000
566,Alwal,1575,0,3,5500000
567,other,1700,0,3,9600000
568,other,1700,0,3,9600000
569,Pragathi Nagar Kukatpally,1535,0,3,6795000
570,Nizampet,940,0,2,3600000
571,Nizampet,1060,0,2,3400000
572,Nizampet,1015,0,2,3500000
573,Nizampet,1015,0,2,3500000
574,Narsingi,1600,0,3,5000000
575,Kondapur,1150,0,2,7000000
576,Narsingi,1500,0,2,5500000
577,Nizampet,1000,0,2,3870000
578,Kompally,1208,0,2,5800000
579,Toli Chowki,1000,0,2,4700000
580,Kondapur,1150,0,2,7000000
581,Narsingi,1500,0,2,5500000
582,Kukatpally,1700,0,3,11299999
583,other,1170,0,2,4500000
584,Kukatpally,1090,0,2,7317000
585,Kukatpally,1090,0,2,7317000
586,Nizampet,1050,0,2,3800000
587,Malkajgiri,1425,0,3,4850000
588,other,1060,0,2,4010000
589,Bachupally,1130,0,2,3550000
590,Nizampet,930,0,2,3300000
591,Nizampet,1085,0,2,3500000
592,Toli Chowki,1420,0,3,7500000
593,Nizampet,1120,0,2,4600000
594,Appa Junction,1506,0,2,8500000
595,Appa Junction,1506,0,2,8500000
596,Nagole,1650,1,3,5500000
597,Nagole,1650,1,3,5500000
598,Nizampet,1200,0,2,3900000
599,Alwal,1145,0,2,4580000
600,Kokapet,1875,1,3,10800000
601,Kokapet,2540,1,3,15200000
602,Kokapet,2630,1,4,15200000
603,Alwal,1145,0,2,4580000
604,Kondapur,2450,0,3,15000000
605,Alwal,1425,0,3,5700000
606,other,1720,0,3,7200000
607,Nanakramguda,2405,0,3,20000000
608,Chandanagar,1725,0,3,8797000
609,Kukatpally,1730,0,3,10500000
610,Madhapur,4070,1,4,43000000
611,Miyapur,2000,1,3,10000000
612,Kondapur,1295,1,2,10000000
613,Kondapur,1490,1,3,12000000
614,Miyapur,1905,0,3,10700000
615,Miyapur,1905,0,3,10700000
616,Kondapur,1525,0,3,7900000
617,Manikonda,1120,0,2,4900000
618,other,1080,0,3,3800000
619,Toli Chowki,950,0,2,4000000
620,Manikonda,2700,0,3,13500000
621,Narsingi,1755,0,3,10000000
622,Narsingi,1755,0,3,10000000
623,Puppalaguda,1216,0,2,6200000
624,Nallagandla Gachibowli,1210,0,2,7000000
625,Kondapur,1525,0,3,7900000
626,Puppalaguda,1340,0,2,6700000
627,Puppalaguda,1216,0,2,6200000
628,Chandanagar,1725,0,2,8452000
629,Banjara Hills,2070,0,3,20000000
630,Banjara Hills,3025,0,4,30200000
631,Jubilee Hills,1670,0,3,12500000
632,East Marredpally,1150,0,2,8200000
633,Kondapur,1150,0,2,6900000
634,Narsingi,1600,0,3,9026000
635,Narsingi,2786,0,3,18200000
636,Kondapur,1525,0,3,8500000
637,Gajularamaram,1555,0,3,6531000
638,Kondapur,1315,1,2,8095000
639,Kondapur,2050,0,3,14000000
